country,gii,n_men,n_women,private_peb_men,private_peb_women,public_peb_men,public_peb_women,n_total,private_peb_mean,public_peb_mean,private_gender_gap,public_gender_gap
Denmark,0.013,467,446,1.9443254817987152,1.9820627802690582,0.13615274803711636,0.12686846038863978,913,1.9627601314348302,0.13161737860533043,0.03773729847034302,-0.00928428764847658
Switzerland,0.018,2008,1885,2.155876494023905,2.260212201591512,0.2197045152722443,0.2454907161803714,3893,2.2063960955561264,0.2321902560150698,0.10433570756760702,0.02578620090812711
Finland,0.033,488,589,1.8719262295081966,2.067062818336163,0.09272540983606561,0.14855687606112045,1077,1.978644382544104,0.12325905292479106,0.19513658882796614,0.05583146622505483
Iceland,0.043,405,440,1.9703703703703705,2.015909090909091,0.19279835390946498,0.2109848484848485,845,1.9940828402366866,0.20226824457593687,0.045538720538720545,0.018186494575383516
Austria,0.053,587,636,2.0434412265758097,2.194182389937107,0.23551959114139695,0.21082285115303978,1223,2.1218315617334427,0.22267647860452439,0.1507411633612974,-0.02469673998835717
Slovenia,0.071,500,567,1.9739999999999998,2.0714285714285716,0.10516666666666664,0.11552028218694885,1067,2.0257731958762886,0.1106685410809122,0.09742857142857186,0.010353615520282203
Germany,0.07299999999999998,730,821,2.143150684931507,2.2046285018270404,0.16027397260273968,0.1638246041412911,1551,2.1756931012250162,0.16215344938749193,0.061477816895533444,0.003550631538551424
Japan,0.083,535,557,1.995327102803738,2.011669658886894,0.03738317757009345,0.032764811490125674,1092,2.003663003663003,0.03502747252747253,0.016342556083155824,-0.004618366079967774
New Zealand,0.08799999999999998,387,420,2.0038759689922485,2.102380952380952,0.19315245478036192,0.23908730158730163,807,2.0551425030978936,0.21705906650144577,0.0985049833887035,0.04593484680693971
Russian Federation,0.203,687,833,0.9599708879184862,1.0756302521008405,0.045487627365356637,0.06282513005202078,1520,1.0233552631578948,0.054989035087719296,0.11565936418235434,0.017337502686664147
Hungary,0.221,384,586,1.6380208333333335,1.6945392491467581,0.04644097222222219,0.03612059158134239,970,1.6721649484536085,0.04020618556701027,0.05651841581342465,-0.010320380640879798
Thailand,0.333,585,727,1.2239316239316238,1.35557083906465,0.059544159544159286,0.04527739569005058,1312,1.2968750000000004,0.05163871951219508,0.13163921513302612,-0.014266763854108709
Philippines,0.419,746,746,1.5107238605898121,1.5824396782841823,0.05630026809651478,0.0407730116175157,1492,1.5465817694369972,0.04853663985701524,0.07171581769437019,-0.01552725647899908
